Year,SeasonNum,Rainfall,NDVI
2008,1,552.5671337,0.610477
2008,1,708.8413922,0.760074
2008,1,530.5192742,0.337792
2008,1,631.1130101,0.795831
2008,1,590.9884678,0.612427
2008,1,570.5107204,0.685396
2008,1,532.0036994,0.295776
2008,1,569.1961701,0.387474
2008,1,529.1640596,0.404049
2008,1,564.1195503,0.36448
2008,1,593.4158373,0.444074
2008,1,540.159108,0.558467
2008,1,595.1370036,0.644349
2008,1,647.9581809,0.611986
2008,1,586.7478483,0.690572
2008,1,682.1700846,0.635839
2008,1,581.8519672,0.326029
2008,1,778.4967827,0.795953
2008,1,653.3692717,0.783727
2008,1,702.973405,0.656944
2008,1,596.7889232,0.787035
2008,1,553.226803,0.337682
2008,1,543.2852914,0.366199
2008,1,575.6210812,0.656718
2008,1,757.7658176,0.741576
2008,1,601.9841504,0.500123
2008,1,647.7205977,0.622501
2008,1,546.8262698,0.552938
2008,1,590.2488231,0.73654
2008,1,528.1976079,0.803995
2008,1,596.9755451,0.695185
2008,1,666.5158547,0.686475
2008,1,638.3373927,0.743226
2008,1,537.4055055,0.391315
2008,1,648.4834466,0.732338
2008,1,768.8574005,0.770504
2008,1,543.3358619,0.396196
2008,1,561.477228,0.524453
2008,1,610.4714798,0.834977
2008,1,523.2905546,0.293127
2008,1,591.4025747,0.569445
2008,2,514.7351027,0.615484
2008,2,477.4271817,0.776051
2008,2,617.8270979,0.301488
2008,2,856.235873,0.805963
2008,2,762.0355618,0.615108
2008,2,555.0880849,0.670536
2008,2,642.7902642,0.31318
2008,2,739.0687578,0.366902
2008,2,645.7424366,0.399528
2008,2,748.250966,0.312828
2008,2,743.4829379,0.42353
2008,2,536.1351338,0.582093
2008,2,655.3910935,0.622777
2008,2,775.09073,0.650079
2008,2,511.3005766,0.687098
2008,2,646.1879887,0.849023
2008,2,754.152941,0.312332
2008,2,475.825005,0.785259
2008,2,785.1032453,0.829287
2008,2,644.2797791,0.74358
2008,2,718.0656724,0.85127
2008,2,679.8506297,0.29732
2008,2,681.1869033,0.341859
2008,2,511.8099218,0.636811
2008,2,504.6344263,0.776753
2008,2,728.3208236,0.497472
2008,2,715.5836357,0.663753
2008,2,589.7517636,0.557445
2008,2,897.3385664,0.859917
2008,2,447.3190383,0.80134
2008,2,491.4147153,0.643042
2008,2,762.7635732,0.775781
2008,2,838.3586145,0.751928
2008,2,622.5327853,0.369435
2008,2,505.5014099,0.794493
2008,2,518.0227114,0.777278
2008,2,704.8982666,0.340274
2008,2,675.4789573,0.535069
2008,2,567.990262,0.861005
2008,2,535.7699627,0.293463
2008,2,671.125808,0.554062
2008,3,1261.3063,0.65468
2008,3,1987.473097,0.748314
2008,3,1172.788265,0.256731
2008,3,1301.995256,0.827398
2008,3,1225.196673,0.649721
2008,3,1735.942719,0.612279
2008,3,1318.613601,0.267961
2008,3,1415.939459,0.396431
2008,3,1412.009462,0.398716
2008,3,1317.250797,0.309565
2008,3,1269.146572,0.477788
2008,3,1108.967413,0.601233
2008,3,1721.547284,0.646586
2008,3,1512.028628,0.684444
2008,3,1800.322768,0.64886
2008,3,1830.998704,0.808764
2008,3,1297.503896,0.26821
2008,3,1990.223114,0.730187
2008,3,1695.225745,0.868483
2008,3,1893.612655,0.752566
2008,3,1774.837415,0.823389
2008,3,1491.461127,0.311695
2008,3,1136.954256,0.312908
2008,3,1008.2328,0.661709
2008,3,2329.74331,0.556724
2008,3,1538.44536,0.538139
2008,3,1699.452926,0.687274
2008,3,1038.20381,0.572953
2008,3,1506.830767,0.831117
2008,3,1380.069567,0.799177
2008,3,1670.194151,0.692533
2008,3,1665.308732,0.801857
2008,3,1450.862601,0.771691
2008,3,1065.678579,0.370203
2008,3,1629.84515,0.792794
2008,3,2225.414169,0.643412
2008,3,1226.549768,0.307981
2008,3,1112.908916,0.522865
2008,3,1778.5359,0.797731
2008,3,1127.082458,0.282842
2008,3,1060.999373,0.539827
