year,city,rate,,
2011,臺灣地區,84.58,,
2011,新北市,83.84,,
2011,臺北市,81.94,,
2011,桃園市,86.37,,
2011,臺中市,81.3,,
2011,臺南市,82.67,,
2011,高雄市,83.54,,
2011,宜蘭縣,83.27,,
2011,新竹縣,89.57,,
2011,苗栗縣,93.23,,
2011,彰化縣,89.44,,
2011,南投縣,90.11,,
2011,雲林縣,87.92,,
2011,嘉義縣,87.67,,
2011,屏東縣,89.49,,
2011,臺東縣,88.81,,
2011,花蓮縣,82.6,,
2011,澎湖縣,78.93,,
2011,基隆市,85.78,,
2011,新竹市,87.74,,
2011,嘉義市,80,, 
2011,金門縣,89.26,,
2011,連江縣,76.92,,
2012,臺灣地區,85.77,,
2012,新北市,83.59,,
2012,臺北市,83.57,,
2012,桃園市,90.47,,
2012,臺中市,81.14,,
2012,臺南市,86.62,,
2012,高雄市,85.32,,
2012,宜蘭縣,84.32,,
2012,新竹縣,93.97,,
2012,苗栗縣,90.86,,
2012,彰化縣,88.45,,
2012,南投縣,93.84,,
2012,雲林縣,90.42,,
2012,嘉義縣,88.85,,
2012,屏東縣,89.17,,
2012,臺東縣,82.23,,
2012,花蓮縣,81.13,,
2012,澎湖縣,83.49,,
2012,基隆市,86.86,,
2012,新竹市,86.64,,
2012,嘉義市,82.59,,
2012,金門縣,86.35,,
2012,連江縣,77.44,,
2013,臺灣地區,85.34,,
2013,新北市,83.47,,
2013,臺北市,81.91,,
2013,桃園市,86.56,,
2013,臺中市,83.44,,
2013,臺南市,86.1,,
2013,高雄市,84.68,,
2013,宜蘭縣,84.87,,
2013,新竹縣,90.62,,
2013,苗栗縣,90.67,,
2013,彰化縣,89.26,,
2013,南投縣,92.7,,
2013,雲林縣,90.32,,
2013,嘉義縣,90.81,,
2013,屏東縣,87.11,,
2013,臺東縣,80.93,,
2013,花蓮縣,83.38,,
2013,澎湖縣,89.64,,
2013,基隆市,86.06,,
2013,新竹市,87.47,,
2013,嘉義市,85.86,,
2013,金門縣,83.54,,
2013,連江縣,84.06,,
2014,臺灣地區,84.01,,
2014,新北市,83.02,,
2014,臺北市,81.46,,
2014,桃園市,85.95,,
2014,臺中市,79.14,,
2014,臺南市,85.34,,
2014,高雄市,84.41,,
2014,宜蘭縣,84.54,,
2014,新竹縣,86.63,,
2014,苗栗縣,93.99,,
2014,彰化縣,88.63,,
2014,南投縣,84.49,,
2014,雲林縣,85.67,,
2014,嘉義縣,85.61,,
2014,屏東縣,89.67,,
2014,臺東縣,85.31,,
2014,花蓮縣,83.53,,
2014,澎湖縣,86.46,,
2014,基隆市,81.84,,
2014,新竹市,83.38,,
2014,嘉義市,80.33,,
2014,金門縣,84.39,,
2014,連江縣,78.66,,
2015,臺灣地區,84.23,,
2015,新北市,84.15,,
2015,臺北市,82.54,,
2015,桃園市,84.91,,
2015,臺中市,78.48,,
2015,臺南市,84.8,,
2015,高雄市,84,,
2015,宜蘭縣,89.11,,
2015,新竹縣,87.71,,
2015,苗栗縣,91.01,,
2015,彰化縣,88.92,,
2015,南投縣,87.15,,
2015,雲林縣,84.45,,
2015,嘉義縣,86.57,,
2015,屏東縣,88.97,,
2015,臺東縣,83.44,,
2015,花蓮縣,82.62,,
2015,澎湖縣,86.58,,
2015,基隆市,85.47,,
2015,新竹市,81.03,,
2015,嘉義市,86.75,,
2015,金門縣,88.43,,
2015,連江縣,75.98,,
2016,臺灣地區,85.36,,
2016,新北市,84.33,,
2016,臺北市,84.16,,
2016,桃園市,88.44,,
2016,臺中市,78.28,,
2016,臺南市,87.57,,
2016,高雄市,86.16,,
2016,宜蘭縣,87.58,,
2016,新竹縣,88.11,,
2016,苗栗縣,91.29,,
2016,彰化縣,90.64,,
2016,南投縣,86.56,,
2016,雲林縣,86.28,,
2016,嘉義縣,87.72,,
2016,屏東縣,86.62,,
2016,臺東縣,82.34,,
2016,花蓮縣,84.92,,
2016,澎湖縣,89.22,,
2016,基隆市,82.1,,
2016,新竹市,86.31,,
2016,嘉義市,85.43,,
2016,金門縣,93.28,,
2016,連江縣,83.31,,
2017,臺灣地區,84.83,,
2017,新北市,85.5,,
2017,臺北市,83.69,,
2017,桃園市,84.96,,
2017,臺中市,80.65,,
2017,臺南市,85.93,,
2017,高雄市,84.16,,
2017,宜蘭縣,85.63,,
2017,新竹縣,89.12,,
2017,苗栗縣,91.34,,
2017,彰化縣,89.68,,
2017,南投縣,91.02,,
2017,雲林縣,88.37,,
2017,嘉義縣,89.4,,
2017,屏東縣,84.21,,
2017,臺東縣,82.23,,
2017,花蓮縣,80.69,,
2017,澎湖縣,84.25,,
2017,基隆市,82.97,,
2017,新竹市,78.65,,
2017,嘉義市,79.3,,
2017,金門縣,86.03,,
2017,連江縣,79.58,,
2018,臺灣地區,84.52,,
2018,新北市,83.63,,
2018,臺北市,83.4,,
2018,桃園市,85.83,,
2018,臺中市,78.91,,
2018,臺南市,87.4,,
2018,高雄市,84.44,,
2018,宜蘭縣,82.89,,
2018,新竹縣,90.34,,
2018,苗栗縣,90.67,,
2018,彰化縣,86.37,,
2018,南投縣,88.59,,
2018,雲林縣,86.58,,
2018,嘉義縣,89.65,,
2018,屏東縣,87.86,,
2018,臺東縣,81.17,,
2018,花蓮縣,84.96,,
2018,澎湖縣,85.71,,
2018,基隆市,86.48,,
2018,新竹市,78.44,,
2018,嘉義市,85.22,,
2018,金門縣,86.19,,
2018,連江縣,85.42,,
2019,臺灣地區,84.7,,
2019,新北市,82.84,,
2019,臺北市,84.02,,
2019,桃園市,87.01,,
2019,臺中市,80.26,,
2019,臺南市,85.29,,
2019,高雄市,84.63,,
2019,宜蘭縣,84.25,,
2019,新竹縣,92.23,,
2019,苗栗縣,89.17,,
2019,彰化縣,90.61,,
2019,南投縣,86.88,,
2019,雲林縣,85.55,,
2019,嘉義縣,89.56,,
2019,屏東縣,82.63,,
2019,臺東縣,80.88,,
2019,花蓮縣,85.48,,
2019,澎湖縣,86.97,,
2019,基隆市,87.46,,
2019,新竹市,83.73,,
2019,嘉義市,86.15,,
2019,金門縣,86.03,,
2019,連江縣,77.95,,
2020,臺灣地區,84.68,,
2020,新北市,84.07,,
2020,臺北市,83.8,,
2020,桃園市,84.32,,
2020,臺中市,80.68,,
2020,臺南市,87.3,,
2020,高雄市,84.04,,
2020,宜蘭縣,83.19,,
2020,新竹縣,88.23,,
2020,苗栗縣,90.4,,
2020,彰化縣,87.93,,
2020,南投縣,89.39,,
2020,雲林縣,87.43,,
2020,嘉義縣,91.39,,
2020,屏東縣,85.57,,
2020,臺東縣,84.98,,
2020,花蓮縣,77.46,,
2020,澎湖縣,84.09,,
2020,基隆市,87.16,,
2020,新竹市,83.7,,
2020,嘉義市,84.05,,
2020,金門縣,86.25,,
2020,連江縣,70.03,,
