170086.679,2544458.622,0.0000,0.0000,0.0000
170243.362,2544455.162,0.0000,0.0000,0.0000
170080.359,2544304.514,0.0000,0.0000,0.0000
170229.375,2544292.414,0.0000,0.0000,0.0000
170074.196,2544231.632,0.0000,0.0000,0.0000
170229.553,2544207.388,0.0000,0.0000,0.0000
170054.989,2544082.624,0.0000,0.0000,0.0000
170219.238,2544067.215,0.0000,0.0000,0.0000
170113.265,2544074.523,0.0000,0.0000,0.0000
170097.524,2544409.373,0.0000,0.0000,0.0000
170113.405,2544350.402,0.0516,0.0601,-0.2975
170095.470,2544101.821,0.0603,-0.0024,-0.2079
170144.766,2544093.609,-0.0030,-0.0295,-4.0533
170156.143,2544129.609,-0.0468,-0.0667,-0.4706
170191.812,2544233.172,0.0517,-0.0387,-18.3853
170221.903,2544284.406,0.0050,-0.0158,-5.2844
170221.809,2544404.695,-0.0759,-0.0563,-0.9046
170180.701,2544424.956,-0.0426,-0.0036,-0.1783
170102.452,2544205.402,-0.0031,0.0604,-1.1370
170145.253,2544183.211,-0.0383,-0.0195,-0.9328
170096.556,2544133.064,-0.0237,0.0278,-1.0238
170118.254,2544398.941,-0.0338,-0.0011,-0.2247
170170.584,2544386.667,-0.0009,-0.0282,-0.6235
170153.497,2544275.583,0.0165,0.0067,-0.6783
170177.705,2544341.319,-0.0031,0.0179,-4.2915
170191.465,2544286.595,-0.0048,-0.0065,-0.0979
170138.252,2544260.433,-0.0467,0.0047,-0.0392
170105.788,2544247.899,0.0026,0.0532,-0.1962
170111.067,2544319.975,0.0422,0.0153,-0.1037
170173.542,2544095.420,-0.0389,0.0150,-0.0084
